Local authority,Band A,Band B,Band C,Band D,Band E,Band F,Band G,Band H,,,,,,,,,
Folkestone & Hythe,1372.57,1601.34,1830.10,2058.86,2516.38,2973.91,3431.43,4117.72,,,,,,,,,
Gravesham,1294.98,1510.81,1726.64,1942.47,2374.13,2805.79,3237.45,3884.94,,,,,,,,,
Maidstone,1349.25,1574.13,1799.00,2023.88,2473.63,2923.38,3373.13,4047.76,,,,,,,,,
Sevenoaks,1357.71,1584.00,1810.28,2036.57,2489.14,2941.71,3394.28,4073.14,,,,,,,,,
Swale,1289.89,1504.87,1719.85,1934.83,2364.79,2794.75,3224.72,3869.66,,,,,,,,,
Thanet,1339.69,1562.98,1786.26,2009.54,2456.10,2902.67,3349.23,4019.08,,,,,,,,,
Tonbridge & Malling,1334.66,1557.10,1779.55,2001.99,2446.88,2891.76,3336.65,4003.98,,,,,,,,,
Tunbridge Wells,1311.82,1530.46,1749.09,1967.73,2405.00,2842.28,3279.55,3935.46,,,,,,,,,
,,,,,,,,,,,,,,,,,
LANCASHIRE,,,,,,,,,,,,,,,,,
Burnley,1382.95,1613.45,1843.94,2074.43,2535.41,2996.40,3457.38,4148.86,,,,,,,,,
Chorley,1312.95,1531.78,1750.60,1969.43,2407.08,2844.73,3282.38,3938.86,,,,,,,,,
Fylde,1336.71,1559.49,1782.28,2005.06,2450.63,2896.20,3341.77,4010.12,,,,,,,,,
Hyndburn,1340.69,1564.14,1787.59,2011.04,2457.94,2904.84,3351.73,4022.08,,,,,,,,,
Lancaster,1340.99,1564.49,1787.99,2011.49,2458.49,2905.49,3352.48,4022.98,,,,,,,,,
Pendle,1419.06,1655.57,1892.08,2128.59,2601.61,3074.63,3547.65,4257.18,,,,,,,,,
Preston,1394.33,1626.71,1859.10,2091.49,2556.27,3021.04,3485.82,4182.98,,,,,,,,,
Ribble Valley,1287.72,1502.34,1716.96,1931.58,2360.82,2790.06,3219.30,3863.16,,,,,,,,,
Rossendale,1361.85,1588.83,1815.80,2042.78,2496.73,2950.68,3404.63,4085.56,,,,,,,,,
South Ribble,1327.56,1548.82,1770.08,1991.34,2433.86,2876.38,3318.90,3982.68,,,,,,,,,
West Lancashire,1323.76,1544.39,1765.01,1985.64,2426.89,2868.15,3309.40,3971.28,,,,,,,,,
Wyre,1323.90,1544.55,1765.20,1985.85,2427.15,2868.45,3309.75,3971.70,,,,,,,,,
,,,,,,,,,,,,,,,,,
LEICESTERSHIRE,,,,,,,,,,,,,,,,,
Blaby,1342.36,1566.09,1789.81,2013.54,2460.99,2908.45,3355.90,4027.08,,,,,,,,,
Charnwood,1300.93,1517.75,1734.57,1951.39,2385.03,2818.67,3252.32,3902.78,,,,,,,,,
Harborough,1304.91,1522.39,1739.88,1957.36,2392.33,2827.30,3262.27,3914.72,,,,,,,,,
Hinckley & Bosworth,1283.47,1497.39,1711.30,1925.21,2353.03,2780.86,3208.68,3850.42,,,,,,,,,
Melton,1317.68,1537.29,1756.91,1976.52,2415.75,2854.97,3294.20,3953.04,,,,,,,,,
North West Leicestershire,1313.93,1532.91,1751.90,1970.89,2408.87,2846.84,3284.82,3941.78,,,,,,,,,
Oadby & Wigston,1308.53,1526.62,1744.71,1962.80,2398.98,2835.16,3271.33,3925.60,,,,,,,,,
LINCOLNSHIRE,,,,,,,,,,,,,,,,,
Boston,1259.15,1469.01,1678.87,1888.73,2308.45,2728.17,3147.88,3777.46,,,,,,,,,
East Lindsey,1233.12,1438.64,1644.16,1849.68,2260.72,2671.76,3082.80,3699.36,,,,,,,,,
Lincoln,1277.24,1490.11,1702.99,1915.86,2341.61,2767.35,3193.10,3831.72,,,,,,,,,
North Kesteven,1268.95,1480.44,1691.93,1903.42,2326.40,2749.38,3172.37,3806.84,,,,,,,,,
South Holland,1237.01,1443.17,1649.34,1855.51,2267.85,2680.18,3092.52,3711.02,,,,,,,,,
South Kesteven,1224.99,1429.15,1633.32,1837.48,2245.81,2654.14,3062.47,3674.96,,,,,,,,,
West Lindsey,1283.85,1497.83,1711.80,1925.78,2353.73,2781.68,3209.63,3851.56,,,,,,,,,
,,,,,,,,,,,,,,,,,
NORFOLK,,,,,,,,,,,,,,,,,
Breckland,1299.07,1515.58,1732.09,1948.60,2381.62,2814.64,3247.67,3897.20,,,,,,,,,
Broadland,1312.69,1531.47,1750.25,1969.03,2406.59,2844.15,3281.72,3938.06,,,,,,,,,
Great Yarmouth,1293.60,1509.20,1724.80,1940.40,2371.60,2802.80,3234.00,3880.80,,,,,,,,,
King's Lynn & West Norfolk,1302.15,1519.17,1736.20,1953.22,2387.27,2821.32,3255.37,3906.44,,,,,,,,,
