areaCode,areaName,areaType,date,newCasesBySpecimenDateRollingRate
K02000001,United Kingdom,overview,25/04/2020,49.1
K02000001,United Kingdom,overview,24/04/2020,50.5
K02000001,United Kingdom,overview,23/04/2020,50.5
K02000001,United Kingdom,overview,22/04/2020,50.7
K02000001,United Kingdom,overview,21/04/2020,50
K02000001,United Kingdom,overview,20/04/2020,49.3
K02000001,United Kingdom,overview,19/04/2020,48.3
K02000001,United Kingdom,overview,18/04/2020,47.8
K02000001,United Kingdom,overview,17/04/2020,46.1
K02000001,United Kingdom,overview,16/04/2020,45.1
K02000001,United Kingdom,overview,15/04/2020,44.5
K02000001,United Kingdom,overview,14/04/2020,44.6
K02000001,United Kingdom,overview,13/04/2020,46.3
K02000001,United Kingdom,overview,12/04/2020,47.9
K02000001,United Kingdom,overview,11/04/2020,48.1
K02000001,United Kingdom,overview,10/04/2020,48.8
K02000001,United Kingdom,overview,09/04/2020,49.6
K02000001,United Kingdom,overview,08/04/2020,49.6
K02000001,United Kingdom,overview,07/04/2020,49.3
K02000001,United Kingdom,overview,06/04/2020,48
K02000001,United Kingdom,overview,05/04/2020,46.5
K02000001,United Kingdom,overview,04/04/2020,45.4
K02000001,United Kingdom,overview,03/04/2020,43.6
K02000001,United Kingdom,overview,02/04/2020,41.1
K02000001,United Kingdom,overview,01/04/2020,38.4
K02000001,United Kingdom,overview,31/03/2020,35
K02000001,United Kingdom,overview,30/03/2020,31.8
K02000001,United Kingdom,overview,29/03/2020,28.9
K02000001,United Kingdom,overview,28/03/2020,26.7
K02000001,United Kingdom,overview,27/03/2020,24.3
K02000001,United Kingdom,overview,26/03/2020,21.4
K02000001,United Kingdom,overview,25/03/2020,18.4
K02000001,United Kingdom,overview,24/03/2020,15.8
K02000001,United Kingdom,overview,23/03/2020,13.4
K02000001,United Kingdom,overview,22/03/2020,10.9
K02000001,United Kingdom,overview,21/03/2020,9.5
K02000001,United Kingdom,overview,20/03/2020,8.2
K02000001,United Kingdom,overview,19/03/2020,7.1
K02000001,United Kingdom,overview,18/03/2020,6.2
K02000001,United Kingdom,overview,17/03/2020,5.3
K02000001,United Kingdom,overview,16/03/2020,4.6
K02000001,United Kingdom,overview,15/03/2020,3.9
K02000001,United Kingdom,overview,14/03/2020,3.3
K02000001,United Kingdom,overview,13/03/2020,2.8
K02000001,United Kingdom,overview,12/03/2020,2.3
K02000001,United Kingdom,overview,11/03/2020,1.6
K02000001,United Kingdom,overview,10/03/2020,1.1
K02000001,United Kingdom,overview,09/03/2020,0.8
K02000001,United Kingdom,overview,08/03/2020,0.6
K02000001,United Kingdom,overview,07/03/2020,0.6
K02000001,United Kingdom,overview,06/03/2020,0.5
K02000001,United Kingdom,overview,05/03/2020,0.4
K02000001,United Kingdom,overview,04/03/2020,0.3
K02000001,United Kingdom,overview,03/03/2020,0.2
K02000001,United Kingdom,overview,02/03/2020,0.1
K02000001,United Kingdom,overview,01/03/2020,0.1
K02000001,United Kingdom,overview,29/02/2020,0.1
