Date,Country,Sex,SexQF,AgeGroup,AgeGroupQF,DailyPositive,CumulativePositive,CrudeRatePositive,DailyDeaths,CumulativeDeaths,CrudeRateDeaths,CumulativeNegative,CrudeRateNegative
20200307,S92000003,Male,,Total,d,3,17,0.637847946,0,0,0,1003,37.63302882
20200307,S92000003,Total,d,0 to 14,,0,0,0,0,0,0,386,44.89468359
20200307,S92000003,Total,d,0 to 59,,4,24,0.591518949,0,0,0,1580,38.94166415
20200307,S92000003,Total,d,15 to 19,,0,0,0,0,0,0,52,18.43187296
20200307,S92000003,Total,d,20 to 24,,0,2,0.585214554,0,0,0,127,37.1611242
20200307,S92000003,Total,d,25 to 44,,2,11,0.768529419,0,0,0,542,37.86754046
20200307,S92000003,Total,d,45 to 64,,2,11,0.735810562,0,0,0,607,40.60336466
20200307,S92000003,Total,d,60+,,1,3,0.212970016,0,0,0,413,29.3188722
20200307,S92000003,Total,d,65 to 74,,1,3,0.511715732,0,0,0,178,30.36180008
20200307,S92000003,Total,d,75 to 84,,0,0,0,0,0,0,71,20.7902643
20200307,S92000003,Total,d,85plus,,0,0,0,0,0,0,30,23.38069222
20200307,S92000003,Total,d,Total,d,5,27,0.493962678,0,0,0,1993,36.46176363
20200308,S92000003,Female,,0 to 14,,0,0,0,0,0,0,185,44.14126158
20200308,S92000003,Female,,0 to 59,,0,9,0.441470568,0,0,0,816,40.02666482
20200308,S92000003,Female,,15 to 19,,0,0,0,0,0,0,30,21.75284418
20200308,S92000003,Female,,20 to 24,,0,2,1.187274789,0,0,0,83,49.27190374
20200308,S92000003,Female,,25 to 44,,0,3,0.415015826,0,0,0,281,38.87314903
20200308,S92000003,Female,,45 to 64,,0,4,0.518020643,0,0,0,312,40.40561016
20200308,S92000003,Female,,60+,,0,1,0.131208284,0,0,0,223,29.25944732
20200308,S92000003,Female,,65 to 74,,0,1,0.326985456,0,0,0,96,31.39060375
