areaCode,areaName,areaType,date,cumPeopleVaccinatedCompleteByPublishDate,cumPeopleVaccinatedFirstDoseByPublishDate,cumVaccinationFirstDoseUptakeByPublishDatePercentage,cumVaccinationSecondDoseUptakeByPublishDatePercentage,cumVaccinesGivenByPublishDate,cumPeopleVaccinatedCompleteByPublishDate_adj,cumPeopleVaccinatedFirstDoseByPublishDate_adj,cumVaccinationFirstDoseUptakeByPublishDatePercentage_adj,cumVaccinationSecondDoseUptakeByPublishDatePercentage_adj,cumVaccinesGivenByPublishDate_adj
N92000002,Northern Ireland,nation,2021-04-01,153454,765005,52.7,10.6,918459,10.896957026845085,54.32394470213631,0.0037422917311685324,0.0007527190199314315,65.22090172898139
N92000002,Northern Ireland,nation,2021-03-31,145753,756013,52.0,10.0,901766,10.350099557742071,53.6854117373039,0.00369258387136174,0.0007101122829541808,64.03551129504598
N92000002,Northern Ireland,nation,2021-03-30,138486,749112,51.6,9.5,887598,9.834060961719267,53.195363250837225,0.0036641793800435726,0.0006746066688064717,63.029424212556485
N92000002,Northern Ireland,nation,2021-03-29,132022,740729,51.0,9.1,872751,9.375044382017684,52.60007612403673,0.0036215726430663215,0.0006462021774883045,61.97512050605442
N92000002,Northern Ireland,nation,2021-03-28,125017,730471,50.3,8.6,855488,8.877610727808282,51.87164294418234,0.0035718647832595285,0.0006106965633405954,60.74925367199061
N92000002,Northern Ireland,nation,2021-03-27,123452,726589,50.0,8.5,850041,8.766478155525952,51.595977355939525,0.003550561414770903,0.0006035954405110536,60.36245551146548
N92000002,Northern Ireland,nation,2021-03-26,120349,719260,49.5,8.3,839609,8.54613031412527,51.07553606376241,0.003515055800623195,0.0005893931948519701,59.62166637788767
N92000002,Northern Ireland,nation,2021-03-25,113637,711673,49.0,7.8,825310,8.069502949806424,50.53677387468507,0.0034795501864754853,0.0005538875807042609,58.60627682449149
N92000002,Northern Ireland,nation,2021-03-24,104907,703334,48.4,7.2,808241,7.449574926787424,49.94461124192958,0.0034369434494982347,0.0005112808437270102,57.394186168717
N92000002,Northern Ireland,nation,2021-03-23,96254,694863,47.8,6.6,791117,6.835114768347171,49.343075127039086,0.0033943367125209836,0.00046867410674975924,56.178189895386254
N92000002,Northern Ireland,nation,2021-03-22,88683,687528,47.3,6.1,776211,6.297488758922561,48.8222077674922,0.003358831098373275,0.0004331684926020502,55.11969652641475
N92000002,Northern Ireland,nation,2021-03-21,88683,687528,47.3,6.1,776211,6.297488758922561,48.8222077674922,0.003358831098373275,0.0004331684926020502,55.11969652641475
N92000002,Northern Ireland,nation,2021-03-20,78496,667758,46.0,5.4,746254,5.574097376277137,47.41831578409178,0.0032665165015892316,0.0003834606327952576,52.992413160368926
N92000002,Northern Ireland,nation,2021-03-19,75313,662973,45.6,5.2,738286,5.348068636612821,47.078527056698206,0.003238112010271064,0.000369258387136174,52.42659569331103
N92000002,Northern Ireland,nation,2021-03-18,70709,655581,45.1,4.9,726290,5.021132941540716,46.55361205713848,0.003202606396123355,0.00034795501864754856,51.574744998679186
N92000002,Northern Ireland,nation,2021-03-17,67202,646190,44.5,4.6,713392,4.772096563908685,45.8867456122162,0.003159999659146104,0.0003266516501589231,50.658842176124885
N92000002,Northern Ireland,nation,2021-03-16,63946,640801,44.1,4.4,704747,4.540884004578804,45.50406610293219,0.003131595167827937,0.00031244940449983956,50.044950107511
N92000002,Northern Ireland,nation,2021-03-15,58245,634019,43.6,4.0,692264,4.136048992066626,45.022467952632674,0.003096089553680228,0.00028404491318167227,49.158516944699294
N92000002,Northern Ireland,nation,2021-03-14,54636,629461,43.3,3.8,684097,3.879769469148462,44.698798774062155,0.003074786185191602,0.00026984266752258865,48.57856824321062
N92000002,Northern Ireland,nation,2021-03-13,52407,625195,43.0,3.6,677602,3.7214854412779745,44.3958648741539,0.0030534828167029767,0.0002556404218635051,48.11735031543188
N92000002,Northern Ireland,nation,2021-03-12,50052,621462,42.8,3.4,671514,3.554253998642265,44.13077995892711,0.0030392805710438933,0.00024143817620442146,47.685033957569374
N92000002,Northern Ireland,nation,2021-03-11,49400,614629,42.3,3.4,664029,3.5079546777936526,43.64556023598452,0.003003774956896184,0.00024143817620442146,47.15351491377817
N92000002,Northern Ireland,nation,2021-03-10,48948,606695,41.8,3.4,655643,3.475857602604124,43.082157150688666,0.0029682693427484754,0.00024143817620442146,46.558014753292795
N92000002,Northern Ireland,nation,2021-03-09,46927,601101,41.4,3.2,648028,3.3323439102190835,42.6849203396041,0.0029398648514303077,0.00022723593054533784,46.01726424982318
N92000002,Northern Ireland,nation,2021-03-08,44594,596527,41.1,3.1,641121,3.1666747146058736,42.36011498138086,0.002918561482941683,0.00022013480771579605,45.52678969598673
N92000002,Northern Ireland,nation,2021-03-07,42851,588803,40.5,2.9,631654,3.04290214368696,41.811624254027045,0.0028759547459644317,0.00020593256205671238,44.854526397714004
N92000002,Northern Ireland,nation,2021-03-06,42230,582914,40.1,2.9,625144,2.998804170915505,41.393439130595326,0.0028475502546462645,0.00020593256205671238,44.39224330151084
N92000002,Northern Ireland,nation,2021-03-05,42096,577219,39.7,2.9,619315,2.989288666323919,40.989030185452926,0.0028191457633280977,0.00020593256205671238,43.97831885177684
N92000002,Northern Ireland,nation,2021-03-04,41787,568011,39.1,2.9,609798,2.967346196780635,40.335158795308715,0.0027765390263508466,0.00020593256205671238,43.30250499208935
N92000002,Northern Ireland,nation,2021-03-03,40139,556721,38.3,2.8,596860,2.8503196925497862,39.53344202785345,0.002719730043714512,0.0001988314392271706,42.38376172040323
N92000002,Northern Ireland,nation,2021-03-02,37862,545019,37.5,2.6,582881,2.688627125721119,38.70246863434046,0.0026629210610781776,0.000184629193568087,41.39109576006158
N92000002,Northern Ireland,nation,2021-03-01,35370,537389,37.0,2.4,572759,2.511667144808937,38.16065296244642,0.002627415446930469,0.00017042694790900338,40.67232010725536
N92000002,Northern Ireland,nation,2021-02-28,33197,525400,36.2,2.3,558597,2.357359745722994,37.30929934641266,0.0025706064642941344,0.00016332582507946154,39.666659092135646
N92000002,Northern Ireland,nation,2021-02-27,32665,520996,35.9,2.2,553661,2.319581772269831,36.996565896999634,0.0025493030958055087,0.00015622470224991978,39.31614766926946
