areaCode,areaName,areaType,date,newAdmissions,newAdmissionsChangePercentage,newAdmissionsRollingRate
K02000001,United Kingdom,overview,2020-09-15,270,55.9,2.4
K02000001,United Kingdom,overview,2020-09-14,255,55.1,2.3
K02000001,United Kingdom,overview,2020-09-13,226,51.4,2.1
K02000001,United Kingdom,overview,2020-09-12,216,51.9,2.0
K02000001,United Kingdom,overview,2020-09-11,231,45.4,1.9
K02000001,United Kingdom,overview,2020-09-10,218,38.9,1.7
K02000001,United Kingdom,overview,2020-09-09,202,29.2,1.6
K02000001,United Kingdom,overview,2020-09-08,184,24.6,1.6
K02000001,United Kingdom,overview,2020-09-07,142,20.5,1.5
K02000001,United Kingdom,overview,2020-09-06,138,14.3,1.4
K02000001,United Kingdom,overview,2020-09-05,130,7.2,1.3
K02000001,United Kingdom,overview,2020-09-04,153,9.9,1.3
K02000001,United Kingdom,overview,2020-09-03,145,11.9,1.3
K02000001,United Kingdom,overview,2020-09-02,146,21.5,1.3
K02000001,United Kingdom,overview,2020-09-01,134,22.5,1.2
K02000001,United Kingdom,overview,2020-08-31,91,19.0,1.2
K02000001,United Kingdom,overview,2020-08-30,77,18.2,1.2
K02000001,United Kingdom,overview,2020-08-29,110,16.7,1.2
K02000001,United Kingdom,overview,2020-08-28,137,7.2,1.2
K02000001,United Kingdom,overview,2020-08-27,152,4.3,1.1
K02000001,United Kingdom,overview,2020-08-26,132,-7.3,1.0
K02000001,United Kingdom,overview,2020-08-25,121,-7.9,1.0
K02000001,United Kingdom,overview,2020-08-24,91,-4.6,1.0
K02000001,United Kingdom,overview,2020-08-23,74,-2.5,1.0
K02000001,United Kingdom,overview,2020-08-22,72,-5.1,1.0
K02000001,United Kingdom,overview,2020-08-21,109,-6.8,1.1
K02000001,United Kingdom,overview,2020-08-20,98,-9.3,1.1
K02000001,United Kingdom,overview,2020-08-19,115,-1.7,1.1
K02000001,United Kingdom,overview,2020-08-18,130,-8.2,1.1
K02000001,United Kingdom,overview,2020-08-17,96,-11.7,1.1
K02000001,United Kingdom,overview,2020-08-16,80,-15.4,1.1
K02000001,United Kingdom,overview,2020-08-15,99,-11.0,1.1
K02000001,United Kingdom,overview,2020-08-14,102,-4.4,1.2
K02000001,United Kingdom,overview,2020-08-13,130,-2.5,1.2
K02000001,United Kingdom,overview,2020-08-12,101,-9.5,1.1
K02000001,United Kingdom,overview,2020-08-11,114,-3.9,1.2
K02000001,United Kingdom,overview,2020-08-10,86,-1.2,1.2
K02000001,United Kingdom,overview,2020-08-09,106,-0.7,1.3
K02000001,United Kingdom,overview,2020-08-08,141,-4.1,1.2
K02000001,United Kingdom,overview,2020-08-07,116,-4.6,1.2
K02000001,United Kingdom,overview,2020-08-06,101,-9.5,1.2
K02000001,United Kingdom,overview,2020-08-05,140,-12.6,1.3
K02000001,United Kingdom,overview,2020-08-04,128,-15.7,1.3
K02000001,United Kingdom,overview,2020-08-03,110,-17.2,1.2
K02000001,United Kingdom,overview,2020-08-02,93,-15.2,1.3
K02000001,United Kingdom,overview,2020-08-01,128,-15.0,1.3
K02000001,United Kingdom,overview,2020-07-31,114,-14.8,1.3
K02000001,United Kingdom,overview,2020-07-30,132,-9.1,1.3
K02000001,United Kingdom,overview,2020-07-29,132,1.3,1.4
K02000001,United Kingdom,overview,2020-07-28,119,3.1,1.5
K02000001,United Kingdom,overview,2020-07-27,130,-2.2,1.5
K02000001,United Kingdom,overview,2020-07-26,109,-7.5,1.5
K02000001,United Kingdom,overview,2020-07-25,119,-4.9,1.5
K02000001,United Kingdom,overview,2020-07-24,158,-12.1,1.5
K02000001,United Kingdom,overview,2020-07-23,200,-15.7,1.5
K02000001,United Kingdom,overview,2020-07-22,158,-21.7,1.4
K02000001,United Kingdom,overview,2020-07-21,126,-23.7,1.4
K02000001,United Kingdom,overview,2020-07-20,130,-20.8,1.5
K02000001,United Kingdom,overview,2020-07-19,126,-17.2,1.6
K02000001,United Kingdom,overview,2020-07-18,105,-23.0,1.6
K02000001,United Kingdom,overview,2020-07-17,144,-19.2,1.7
K02000001,United Kingdom,overview,2020-07-16,166,-19.2,1.8
K02000001,United Kingdom,overview,2020-07-15,166,-16.2,1.8
K02000001,United Kingdom,overview,2020-07-14,185,-16.8,1.9
K02000001,United Kingdom,overview,2020-07-13,189,-19.2,1.9
K02000001,United Kingdom,overview,2020-07-12,114,-19.0,2.0
K02000001,United Kingdom,overview,2020-07-11,177,-14.6,2.1
K02000001,United Kingdom,overview,2020-07-10,176,-17.4,2.1
K02000001,United Kingdom,overview,2020-07-09,213,-21.0,2.2
K02000001,United Kingdom,overview,2020-07-08,208,-25.1,2.2
K02000001,United Kingdom,overview,2020-07-07,214,-25.8,2.3
K02000001,United Kingdom,overview,2020-07-06,204,-24.3,2.4
K02000001,United Kingdom,overview,2020-07-05,196,-29.4,2.4
K02000001,United Kingdom,overview,2020-07-04,202,-31.3,2.4
K02000001,United Kingdom,overview,2020-07-03,214,-26.7,2.6
K02000001,United Kingdom,overview,2020-07-02,217,-21.2,2.7
K02000001,United Kingdom,overview,2020-07-01,269,-19.3,2.9
K02000001,United Kingdom,overview,2020-06-30,295,-17.4,3.1
K02000001,United Kingdom,overview,2020-06-29,220,-17.7,3.2
K02000001,United Kingdom,overview,2020-06-28,208,-12.5,3.4
K02000001,United Kingdom,overview,2020-06-27,287,-12.0,3.5
K02000001,United Kingdom,overview,2020-06-26,340,-17.1,3.5
K02000001,United Kingdom,overview,2020-06-25,324,-18.8,3.5
K02000001,United Kingdom,overview,2020-06-24,368,-17.3,3.6
K02000001,United Kingdom,overview,2020-06-23,363,-17.4,3.7
K02000001,United Kingdom,overview,2020-06-22,394,-15.4,3.8
K02000001,United Kingdom,overview,2020-06-21,288,-13.1,3.9
K02000001,United Kingdom,overview,2020-06-20,257,-11.8,4.0
K02000001,United Kingdom,overview,2020-06-19,336,-8.3,4.2
K02000001,United Kingdom,overview,2020-06-18,403,-8.9,4.3
K02000001,United Kingdom,overview,2020-06-17,432,-10.9,4.4
K02000001,United Kingdom,overview,2020-06-16,455,-11.7,4.5
K02000001,United Kingdom,overview,2020-06-15,440,-15.0,4.5
K02000001,United Kingdom,overview,2020-06-14,364,-20.1,4.5
K02000001,United Kingdom,overview,2020-06-13,385,-21.4,4.6
K02000001,United Kingdom,overview,2020-06-12,392,-24.1,4.6
K02000001,United Kingdom,overview,2020-06-11,446,-24.6,4.7
